5
ID,Age,Math,Science,Malay
100
119110080,18,95,89,98
119110081,20,88,78,65
119110082,21,50,70,89
119110083,19,65,88,98
119110084,18,55,69,85
119110085,18,89,90,77
119110086,19,99,90,100
119110087,25,77,89,66
119110088,22,51,55,45
119110089,20,49,75,80
119110090,21,57,88,75
119110091,23,89,90,99
119110092,18,69,90,43
119110093,17,80,80,80
119110094,19,30,56,79
119110095,21,54,55,60
119110096,22,65,89,91
119110097,18,91,99,95
119110098,18,42,76,87
119110099,17,33,43,53
119110100,20,60,77,75
119110101,23,47,57,90
119110102,21,85,89,88
119110103,18,74,90,76
119110104,19,90,67,89
119110105,20,90,75,92
119110106,21,88,65,54
119110107,23,40,37,70
119110108,19,80,77,23
119110109,19,66,34,80
119110110,20,12,28,70
119110111,20,55,88,62
119110112,21,98,90,66
119110113,21,78,56,43
119110114,18,22,58,80
119110115,19,56,78,85
119110116,22,83,67,72
119110117,20,66,73,81
119110118,22,51,84,87
119110119,21,74,74,89
119110120,21,86,79,68
119110121,19,56,66,34
119110122,21,67,8,28
119110123,18,78,55,88
119110124,19,89,98,90
119110125,20,45,78,56
119110126,23,65,22,58
119110127,22,67,56,78
119110128,22,86,83,67
119110129,19,59,86,65
119110130,18,55,36,49
119110131,20,90,90,81
119110132,18,89,87,67
119110133,19,76,67,54
119110134,22,45,55,70
119110135,21,67,70,65
119110136,18,93,71,82
119110137,20,77,85,68
119110138,22,59,66,58
119110139,17,63,78,81
119110140,20,30,60,66
119110141,21,69,71,77
119110142,19,90,86,89
119110143,23,89,95,85
119110144,18,49,44,60
119110145,18,55,61,69
119110146,22,78,74,80
119110147,17,77,63,65
119110148,20,89,72,80
119110149,22,65,83,77
119110150,21,46,62,59
119110151,21,71,91,79
119110152,19,61,49,67
119110153,18,90,71,88
119110154,19,95,86,85
119110155,18,86,90,95
119110156,20,67,80,80
119110157,21,86,82,70
119110158,23,59,65,75
119110159,17,55,59,78
119110160,22,89,75,76
119110161,20,45,71,77
119110162,21,50,65,50
119110163,23,77,68,60
119110164,24,69,90,80
119110165,19,58,95,80
119110166,20,77,80,60
119110167,23,89,86,70
119110168,22,71,88,90
119110169,21,59,77,95
119110170,18,77,78,85
119110171,19,56,90,86
119110172,20,83,84,90
119110173,22,76,77,84
119110174,23,78,80,82
119110175,20,90,92,94
119110176,19,80,85,87
119110177,18,86,87,90
119110178,20,81,85,87
119110179,21,91,95,80
